Region,Year,Crimes_per_1000,Inhabitants,Men,Women,0-15_yo,15-25_yo,25-45_yo,45-65_yo,Unmarried,Married,Divorced,Widowed,Western,Non_western,Moroccan,Netherlands_Antilles_Aruba,Suriname,Turkey,Other_non_western,Birth_total,Birth_relative,Death_total,Death_relative,Households_total,Households_one_person,Households_without_kids,Households_with_kids,Household_size,Population_density,Housing_stock,House_price,Owner_occupied_homes,Rental_homes,Housing_corporation_homes,Rental_homes_other,Ownership_unknown,Energy_Apartment,Energy_Terraced_homes,Energy_Corner_home,Energy_Semidetached_homes,Energy_Detached_homes,Gas_Apartment,Gas_Terraced_homes,Gas_Corner_home,Gas_Semidetached_homes,Gas_Detached_homes,Income_recipients,Income_per_income_recipient,Income_per_inhabitant,Households_below_poverty_level,Passenger_cars_total,Passenger_cars_per_household,Passenger_cars_per_area,Distance_to_GP,Distance_to_supermarket,Distance_to_daycare,Distance_to_school,Schools_within_3k,Address_density
GM0003,2005,55,12440,6050,6380,17,11,26,28,NA,NA,NA,NA,8,4,0,0,1,2,1,110,9,125,10,5540,32,34,34,2.2,522,5595,116,49,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,16,11.3,NA,4860,0.9,204,NA,NA,NA,NA,NA,957
GM0003,2006,52.7,12290,6000,6290,16,11,26,28,NA,NA,NA,NA,8,4,0,0,1,2,1,125,10,135,11,5480,32,35,34,2.2,516,5585,116,NA,NA,NA,NA,NA,1350,1600,1800,1950,2350,1950,2600,2750,3100,3900,8300,16.4,11.7,NA,4900,0.9,206,NA,NA,NA,0.7,7.5,953
GM0003,2007,53.2,12190,5930,6260,16,10,25,29,NA,NA,NA,NA,8,4,0,0,1,2,1,120,10,150,12,5440,32,35,33,2.2,511,5515,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8600,16.9,12.2,NA,4925,0.9,207,0.8,NA,1.3,0.7,7.4,954
GM0003,2008,51.5,12130,5870,6260,16,11,25,29,41,45,6,8,8,5,0,0,1,2,1,115,10,125,10,5420,32,35,33,2.2,509,5515,145,NA,NA,NA,NA,NA,1400,1600,1750,2000,2400,2000,2650,2750,3200,3950,NA,NA,NA,NA,5030,0.9,211,0.8,0.8,NA,0.7,7.4,927
GM0003,2009,50.2,12110,5850,6260,16,10,24,30,41,45,7,8,8,5,0,0,1,2,1,105,9,150,12,5440,32,35,32,2.2,509,5520,150,50,50,44,6,0,1350,1550,1750,1900,2350,2000,2750,2850,3200,3950,8600,25.4,18.6,8,5085,0.9,214,NA,0.8,1.3,0.7,7.4,930
GM0003,2010,50,12030,5790,6240,16,10,24,30,40,45,7,8,8,5,0,0,1,2,1,120,10,165,13,5445,33,35,32,2.2,505,5525,152,49,50,44,7,0,1650,1850,2100,2250,2800,2000,2750,2900,3200,3950,8700,25.8,19.2,8,5170,0.9,217,0.9,0.8,1.3,0.7,7.4,943
GM0003,2011,54.8,12090,5870,6220,16,10,24,30,41,44,7,8,7,5,0,0,1,3,1,85,7,155,12,5510,34,34,32,2.1,509,5525,157,49,51,43,7,0,1050,1400,1600,1800,2250,1950,2650,2850,3150,4000,8600,26.3,19.3,10,5220,0.9,220,1.1,0.8,1.3,0.7,7.3,960
GM0003,2012,44.5,12055,5820,6230,16,10,23,30,41,44,8,8,8,5,0,0,1,2,2,110,9,135,11,5515,35,34,32,2.1,507,5600,155,49,51,43,8,0,1100,1500,1700,1950,2450,2000,2700,2850,3100,3950,8700,26.4,19.6,11,5290,1,223,1.1,0.9,1.3,0.7,7.2,1001
GM0003,2013,42.1,12050,5835,6215,15,10,22,30,41,44,8,8,8,5,0,0,1,2,2,95,7,145,12,5525,35,33,32,2.1,507,5785,149,47,51,42,9,2,1900,2850,3000,3050,3900,1200,1700,1900,2000,2550,8700,26.4,19.7,10,5315,1,224,1.4,0.9,1.2,0.7,7.3,1016
GM0003,2014,41.3,12065,5845,6215,15,11,22,30,41,43,8,8,8,5,0,1,1,2,2,103,8,145,12,5525,35,33,32,2.1,507,5840,142,48,52,44,8,0,1800,2800,2850,2900,3700,900,1300,1450,1500,1900,9300,25.6,20.2,8.4,5275,1,222,1.4,0.9,1.3,0.7,7.3,975
GM0003,2015,37,12011,5807,6204,1857,1241,2576,3579,4991,5105,1016,899,885,674,45,72,74,268,215,94,7,164,13,5550,1975,1836,1739,2.1,505,5850,134,48,52,44,8,0,1800,2690,2820,2790,3510,980,1360,1550,1550,2010,9300,26,20.8,8.7,5265,0.9,222,1.3,0.9,1.4,0.9,6.3,1020
GM0003,2016,39.7,12001,5802,6199,1825,1232,2554,3565,5045,5059,1008,889,898,699,44,83,72,270,230,108,9,173,14,5594,2032,1842,1720,2.1,505,5881,131,48,51,44,7,1,1800,2610,2740,2720,3320,1030,1430,1630,1640,2110,9400,26.4,21.2,9.6,5315,0.9,223,1.4,0.9,1.4,0.9,6.4,1041
GM0003,2017,34.5,11971,5802,6169,1806,1235,2528,3555,5075,4997,1024,875,879,738,47,101,74,264,252,93,7,152,12,5600,2067,1800,1733,2.1,503,5899,134,48,51,44,7,1,1790,2560,2650,2570,3110,960,1360,1550,1520,1960,9400,26.8,21.6,9.2,5405,1,227,1.4,0.9,1.4,0.9,6.3,1045
GM0003,2018,36.4,11801,5751,6050,1773,1202,2439,3562,5013,4924,1035,829,869,814,48,100,83,257,326,85,7,143,12,5540,2065,1775,1700,2.1,496,5925,138,49,51,44,7,0,1770,2520,2660,2550,3040,960,1380,1580,1530,2000,9300,27.3,22.1,8.9,5440,1,229,1.3,0.9,1,0.9,6.3,1051
GM0003,2019,41.8,11721,5720,6001,1718,1238,2376,3491,4981,4874,1048,818,850,834,46,103,80,256,349,79,7,157,13,5531,2097,1729,1705,2.1,493,6032,144,48,52,43,8,0,1760,2460,2570,2520,2990,900,1290,1470,1410,1840,NA,NA,NA,NA,5520,1,232,1.4,0.9,0.9,0.9,6.4,1067
