Region,Year,Crimes_per_1000
GM0003,2005,55
GM0003,2006,52.7
GM0003,2007,53.2
GM0003,2008,51.5
GM0003,2009,50.2
GM0003,2010,50
GM0003,2011,54.8
GM0003,2012,44.5
GM0003,2013,42.1
GM0003,2014,41.3
GM0003,2015,37
GM0003,2016,39.7
GM0003,2017,34.5
GM0003,2018,36.4
GM0003,2019,41.8
GM0005,2005,36.3
GM0005,2006,34.7
GM0005,2007,35.7
GM0005,2008,38.9
GM0005,2009,35.7
GM0005,2010,31.4
GM0005,2011,35.1
GM0005,2012,28.7
GM0005,2013,22
GM0005,2014,25.1
GM0005,2015,24.6
GM0005,2016,19.1
GM0005,2017,16.6
GM0005,2018,14.6
GM0005,2019,NA
GM0007,2005,29.8
GM0007,2006,31.5
GM0007,2007,30.2
GM0007,2008,29.6
GM0007,2009,36.7
GM0007,2010,35.5
GM0007,2011,31.7
GM0007,2012,29.7
GM0007,2013,29.4
GM0007,2014,25
GM0007,2015,23.8
GM0007,2016,23
GM0007,2017,24.7
GM0007,2018,NA
GM0007,2019,NA
GM0009,2005,26.8
GM0009,2006,23
GM0009,2007,27.9
GM0009,2008,20.3
GM0009,2009,20.7
GM0009,2010,25.4
GM0009,2011,25.1
GM0009,2012,25.3
GM0009,2013,21.7
GM0009,2014,20.5
GM0009,2015,18.5
GM0009,2016,21.4
GM0009,2017,16.9
GM0009,2018,14.9
GM0009,2019,NA
GM0010,2005,50.9
GM0010,2006,53.6
GM0010,2007,59.2
GM0010,2008,55.5
GM0010,2009,53.1
GM0010,2010,56.1
GM0010,2011,46.6
GM0010,2012,46.6
GM0010,2013,39.5
GM0010,2014,39.3
GM0010,2015,39.9
GM0010,2016,44.9
GM0010,2017,40.3
GM0010,2018,38.1
GM0010,2019,39.8
GM0014,2005,111.5
GM0014,2006,116
GM0014,2007,113.2
GM0014,2008,107.1
GM0014,2009,111
GM0014,2010,104.3
GM0014,2011,97.4
GM0014,2012,94.5
GM0014,2013,94.8
GM0014,2014,84.5
GM0014,2015,82.1
GM0014,2016,82
GM0014,2017,68.3
GM0014,2018,64
GM0014,2019,59.1
GM0015,2005,28.3
GM0015,2006,29.3
GM0015,2007,26.4
GM0015,2008,24.7
GM0015,2009,28.2
GM0015,2010,25.2
GM0015,2011,24.8
GM0015,2012,26.8
GM0015,2013,26.3
GM0015,2014,21.4
GM0015,2015,18.4
GM0015,2016,17.9
GM0015,2017,12.8
GM0015,2018,16.8
GM0015,2019,NA
GM0017,2005,50.5
GM0017,2006,47.4
GM0017,2007,48.3
GM0017,2008,46
GM0017,2009,48.4
GM0017,2010,42.8
GM0017,2011,43.6
GM0017,2012,55.8
GM0017,2013,43.2
GM0017,2014,37.8
GM0017,2015,39.3
GM0017,2016,36.4
GM0017,2017,29.5
GM0017,2018,26.6
GM0017,2019,NA
GM0018,2005,71.6
GM0018,2006,67.7
GM0018,2007,67.9
GM0018,2008,68.7
GM0018,2009,72.2
GM0018,2010,61
GM0018,2011,62
GM0018,2012,53.8
GM0018,2013,56.5
GM0018,2014,48.6
GM0018,2015,45.1
GM0018,2016,41.5
GM0018,2017,34.5
GM0018,2018,NA
GM0018,2019,NA
GM0022,2005,47.5
GM0022,2006,47.9
GM0022,2007,48.8
GM0022,2008,39
GM0022,2009,44.2
GM0022,2010,45.6
GM0022,2011,48.5
GM0022,2012,38.8
GM0022,2013,34.2
GM0022,2014,35.6
GM0022,2015,31.7
GM0022,2016,33.1
GM0022,2017,26.8
GM0022,2018,21.9
GM0022,2019,NA
GM0024,2005,27.4
GM0024,2006,28.6
GM0024,2007,32.1
GM0024,2008,28.4
GM0024,2009,30.1
GM0024,2010,32.9
GM0024,2011,29.6
GM0024,2012,23.2
GM0024,2013,21.6
GM0024,2014,23.6
GM0024,2015,21.9
GM0024,2016,22.7
GM0024,2017,18.5
GM0024,2018,18.2
GM0024,2019,18.5
GM0025,2005,34.2
GM0025,2006,40.8
GM0025,2007,41.1
GM0025,2008,34.1
GM0025,2009,35.2
GM0025,2010,34.4
GM0025,2011,30.9
GM0025,2012,30.8
GM0025,2013,31.3
GM0025,2014,31.8
GM0025,2015,27.8
GM0025,2016,24.6
GM0025,2017,22.4
GM0025,2018,21.2
GM0025,2019,NA
GM0034,2005,85.1
GM0034,2006,85.4
GM0034,2007,89
GM0034,2008,85.6
GM0034,2009,72.5
GM0034,2010,74
GM0034,2011,76.5
GM0034,2012,75.1
GM0034,2013,78.2
GM0034,2014,68.3
