Region,Year,Crimes_two_years_ago,Crimes_previous_year,Crimes_current_year,Crimes_next_year,Inhabitants,Men,Women,X0.15_yo,X15.25_yo,X25.45_yo,X45.65_yo,Unmarried,Married,Divorced,Widowed,Western,Non_western,Moroccan,Netherlands_Antilles_Aruba,Suriname,Turkey,Other_non_western,Birth_total,Birth_relative,Death_total,Death_relative,Households_total,Households_one_person,Households_without_kids,Households_with_kids,Household_size,Population_density,Housing_stock,House_price,Owner_occupied_homes,Rental_homes,Housing_corporation_homes,Rental_homes_other,Ownership_unknown,Energy_Apartment,Energy_Terraced_homes,Energy_Corner_home,Energy_Semidetached_homes,Energy_Detached_homes,Gas_Apartment,Gas_Terraced_homes,Gas_Corner_home,Gas_Semidetached_homes,Gas_Detached_homes,Income_recipients,Income_per_income_recipient,Income_per_inhabitant,Households_below_poverty_level,Passenger_cars_total,Passenger_cars_per_household,Passenger_cars_per_area,Distance_to_GP,Distance_to_supermarket,Distance_to_daycare,Distance_to_school,Schools_within_3k,Address_density
GM0003,2007,1.7999999999999972,-0.5,53.2,51.5,12190,5930,6260,16,10,25,29,44,46,6,6,8,4,0,0,1,2,1,120,10,150,12,5440,32,35,33,2.2,511,5515,137,65,35,25,9,0,1200,1700,1950,2250,3000,2150,3100,3300,3800,4450,8600,16.9,12.2,6,4925,0.9,207,0.8,0.9,1.3,0.7,7.4,954
GM0003,2008,1.2000000000000028,1.7000000000000028,51.5,50.2,12130,5870,6260,16,11,25,29,41,45,6,8,8,5,0,0,1,2,1,115,10,125,10,5420,32,35,33,2.2,509,5515,145,65,35,25,9,0,1400,1600,1750,2000,2400,2000,2650,2750,3200,3950,18400,28,20.7,6,5030,0.9,211,0.8,0.8,1,0.7,7.4,927
GM0003,2009,3,1.2999999999999972,50.2,50,12110,5850,6260,16,10,24,30,41,45,7,8,8,5,0,0,1,2,1,105,9,150,12,5440,32,35,32,2.2,509,5520,150,50,50,44,6,0,1350,1550,1750,1900,2350,2000,2750,2850,3200,3950,8600,25.4,18.6,8,5085,0.9,214,1,0.8,1.3,0.7,7.4,930
GM0003,2010,1.5,0.20000000000000284,50,54.8,12030,5790,6240,16,10,24,30,40,45,7,8,8,5,0,0,1,2,1,120,10,165,13,5445,33,35,32,2.2,505,5525,152,49,50,44,7,0,1650,1850,2100,2250,2800,2000,2750,2900,3200,3950,8700,25.8,19.2,8,5170,0.9,217,0.9,0.8,1.3,0.7,7.4,943
GM0003,2011,-4.599999999999994,-4.799999999999997,54.8,44.5,12090,5870,6220,16,10,24,30,41,44,7,8,7,5,0,0,1,3,1,85,7,155,12,5510,34,34,32,2.1,509,5525,157,49,51,43,7,0,1050,1400,1600,1800,2250,1950,2650,2850,3150,4000,8600,26.3,19.3,10,5220,0.9,220,1.1,0.8,1.3,0.7,7.3,960
GM0003,2012,5.5,10.299999999999997,44.5,42.1,12055,5820,6230,16,10,23,30,41,44,8,8,8,5,0,0,1,2,2,110,9,135,11,5515,35,34,32,2.1,507,5600,155,49,51,43,8,0,1100,1500,1700,1950,2450,2000,2700,2850,3100,3950,8700,26.4,19.6,11,5290,1,223,1.1,0.9,1.3,0.7,7.2,1001
GM0003,2013,12.699999999999996,2.3999999999999986,42.1,41.3,12050,5835,6215,15,10,22,30,41,44,8,8,8,5,0,0,1,2,2,95,7,145,12,5525,35,33,32,2.1,507,5785,149,47,51,42,9,2,1900,2850,3000,3050,3900,1200,1700,1900,2000,2550,8700,26.4,19.7,10,5315,1,224,1.4,0.9,1.2,0.7,7.3,1016
GM0003,2014,3.200000000000003,0.8000000000000043,41.3,37,12065,5845,6215,15,11,22,30,41,43,8,8,8,5,0,1,1,2,2,103,8,145,12,5525,35,33,32,2.1,507,5840,142,48,52,44,8,0,1800,2800,2850,2900,3700,900,1300,1450,1500,1900,9300,25.6,20.2,8.4,5275,1,222,1.4,0.9,1.3,0.7,7.3,975
GM0003,2015,5.100000000000001,4.299999999999997,37,39.7,12011,5807,6204,1857,1241,2576,3579,4991,5105,1016,899,885,674,45,72,74,268,215,94,7,164,13,5550,1975,1836,1739,2.1,505,5850,134,48,52,44,8,0,1800,2690,2820,2790,3510,980,1360,1550,1550,2010,9300,26,20.8,8.7,5265,0.9,222,1.3,0.9,1.4,0.9,6.3,1020
GM0005,2007,0.5999999999999943,-1,35.7,38.9,10600,5330,5270,20,12,25,30,44,46,6,6,4,1,0,0,0,0,1,80,8,65,6,4170,26,34,40,2.5,238,4275,179,65,35,25,9,0,1200,1700,1950,2250,3000,2150,3100,3300,3800,4450,7200,17.6,12.2,6,4350,1,98,1.1,0.9,1,0.7,4.1,600
GM0005,2008,-4.199999999999996,-3.1999999999999957,38.9,35.7,10550,5300,5250,19,12,24,31,44,47,4,5,4,2,0,0,0,0,1,120,11,85,8,4200,27,34,39,2.4,237,4280,191,65,35,25,9,0,1200,1700,1900,1950,2500,2000,2950,3150,3300,3900,18400,28,20.7,6,4420,1.1,99,1.1,1.2,1,0.7,4.1,607
GM0005,2009,0,3.1999999999999957,35.7,31.4,10460,5270,5190,18,12,24,31,44,47,4,5,4,2,0,0,0,0,1,100,10,70,7,4200,27,34,38,2.4,235,4280,196,69,30,21,9,1,1150,1650,1850,1900,2400,2000,3000,3150,3300,3900,7100,26.6,18.7,5,4495,1.1,101,1,1.2,0.9,0.7,4.1,592
GM0005,2010,7.5,4.300000000000004,31.4,35.1,10445,5245,5205,18,12,23,32,43,47,5,5,4,2,0,0,0,0,1,100,9,80,7,4255,28,34,38,2.4,234,4320,192,68,31,23,9,1,1300,1950,2200,2250,2900,2050,3000,3150,3350,3950,7200,27.2,19.3,5,4515,1.1,101,1.1,1.2,1.1,0.7,4.1,593
GM0005,2011,0.6000000000000014,-3.700000000000003,35.1,28.7,10495,5280,5215,18,12,22,32,43,47,5,5,4,2,0,0,0,0,1,100,9,80,7,4310,29,34,38,2.4,235,4355,189,68,32,23,8,1,1000,1550,1750,1750,2300,1900,2950,3050,3300,3950,7300,27.7,19.7,6,4630,1.1,104,1.1,1.1,0.9,0.7,4.1,612
GM0005,2012,2.6999999999999993,6.400000000000002,28.7,22,10510,5280,5225,17,12,22,31,44,46,5,5,4,2,0,0,0,0,2,105,10,90,8,4345,29,33,38,2.4,236,4410,190,68,31,23,8,1,1150,1650,1850,1900,2500,2050,2900,3050,3250,3850,7400,28.1,20.3,6,4760,1.1,107,1.1,1.1,0.9,0.7,4.1,621
GM0005,2013,13.100000000000001,6.699999999999999,22,25.1,10550,5280,5270,17,12,22,31,44,46,5,5,4,2,0,0,0,0,2,85,8,75,7,4370,29,33,38,2.4,237,4464,184,67,32,23,9,1,1850,3000,3050,3200,3800,1150,1800,2000,2000,2650,7400,28.6,20.6,6,4815,1.1,108,1.1,1.1,0.9,0.7,4.1,621
GM0005,2014,3.599999999999998,-3.1000000000000014,25.1,24.6,10495,5245,5245,17,12,21,31,44,46,5,5,4,2,0,0,0,0,2,115,10,83,7,4310,28,34,38,2.4,236,4500,176,68,32,22,10,0,1750,2850,2900,3100,3600,900,1350,1450,1500,2000,7800,27.4,21.1,5,4825,1.1,108,1.1,1.1,1,0.7,4,624
GM0005,2015,-2.6000000000000014,0.5,24.6,19.1,10441,5223,5218,1771,1232,2182,3213,4565,4797,578,501,443,270,7,25,17,11,210,96,9,81,7,4309,1205,1523,1581,2.4,234,4529,171,68,32,24,8,0,1810,2750,2830,2890,3460,1010,1410,1560,1540,2070,8000,27.8,21.9,4.3,4770,1.1,107,1.1,1.1,1,0.7,4,673
GM0007,2007,-0.3999999999999986,1.3000000000000007,30.2,29.6,9510,4750,4760,15,10,24,33,44,46,6,6,8,3,0,0,0,0,2,70,7,90,9,4170,28,38,34,2.3,88,4085,172,65,35,25,9,0,1200,1700,1950,2250,3000,2150,3100,3300,3800,4450,6600,16.2,11.6,6,4750,1.1,44,1.8,0.9,4.7,0.9,2.4,155
