Region,Year,Crimes_current_year,Crimes_next_year,Energy_Semidetached_homes,Birth_relative,Gas_Terraced_homes,Households_without_kids,Gas_Semidetached_homes,Schools_within_3k,45-65_yo,Household_size,Households_one_person,Households_below_poverty_level,0-15_yo,Turkey,Passenger_cars_per_area,Gas_Apartment,Divorced,Suriname,Distance_to_supermarket,Housing_corporation_homes,Inhabitants,Households_total,Distance_to_daycare,Energy_Detached_homes,Western,15-25_yo,Married,Ownership_unknown,Non_western,Netherlands_Antilles_Aruba,Income_per_income_recipient,Income_per_inhabitant,Death_total,Men,Households_with_kids,Other_non_western,Death_relative,Income_recipients,Distance_to_school,Rental_homes_other,Rental_homes,Widowed,Passenger_cars_total,Gas_Corner_home,Unmarried,House_price,Moroccan,25-45_yo,Address_density,Population_density,Energy_Corner_home,Energy_Terraced_homes,Gas_Detached_homes,Birth_total,Women,Owner_occupied_homes,Energy_Apartment,Housing_stock,Passenger_cars_per_household,Crimes_previous_year,Crimes_two_years_ago,change_one_year_ago,change_two_years_ago
's-Gravenhage,2007,117.4,117.1,,13.0,,22.0,,37.7,24.0,2.0,48.0,,18.0,7.0,2040.0,,,10.0,,,473940.0,237340.0,0.4,,13.0,12.0,,,33.0,2.0,19.2,13.4,4205.0,232530.0,29.0,8.0,9.0,320600.0,0.4,,,,168130.0,,,177.0,5.0,33.0,4700.0,5749.0,,,,6340.0,241410.0,,,231995.0,0.7,-9.100000000000009,-2.1000000000000085,increased,decreased
's-Gravenhage,2008,117.1,115.7,1750.0,14.0,3450.0,22.0,4650.0,37.4,24.0,2.0,48.0,,18.0,7.0,2070.0,2400.0,9.0,10.0,0.5,,475680.0,236950.0,,2100.0,13.0,12.0,33.0,,33.0,2.0,,,4295.0,233660.0,30.0,8.0,9.0,,0.4,,,5.0,170645.0,3800.0,53.0,200.0,5.0,33.0,4666.0,5771.0,1550.0,1400.0,5150.0,6505.0,242020.0,,1300.0,232405.0,0.7,0.30000000000001137,-8.799999999999997,decreased,increased
's-Gravenhage,2009,115.7,118.9,1750.0,14.0,3400.0,22.0,4700.0,37.2,25.0,2.0,48.0,13.0,17.0,7.0,2114.0,2350.0,9.0,10.0,0.5,30.0,481860.0,240300.0,0.4,2100.0,14.0,12.0,32.0,3.0,33.0,2.0,30.8,21.5,3935.0,237270.0,29.0,9.0,8.0,325500.0,0.4,24.0,53.0,5.0,173090.0,3750.0,54.0,211.0,5.0,33.0,4673.0,5885.0,1550.0,1400.0,5150.0,6665.0,244600.0,44.0,1300.0,234395.0,0.7,1.3999999999999915,1.7000000000000028,decreased,decreased
's-Gravenhage,2010,118.9,115.2,2000.0,13.0,3450.0,22.0,4700.0,37.1,25.0,2.0,48.0,14.0,17.0,7.0,2129.0,2350.0,10.0,10.0,0.5,35.0,488555.0,243000.0,0.4,2450.0,14.0,12.0,32.0,3.0,34.0,2.0,31.5,21.9,4160.0,240695.0,30.0,9.0,8.0,329700.0,0.4,19.0,54.0,5.0,174300.0,3800.0,54.0,213.0,5.0,32.0,4674.0,5967.0,1750.0,1600.0,5200.0,6830.0,247855.0,43.0,1500.0,237505.0,0.7,-3.200000000000003,-1.8000000000000114,increased,decreased
's-Gravenhage,2011,115.2,106.5,1600.0,14.0,3400.0,22.0,4700.0,36.7,25.0,2.0,48.0,14.0,18.0,7.0,2157.0,2300.0,10.0,9.0,0.5,33.0,495085.0,245210.0,0.4,2000.0,15.0,12.0,32.0,2.0,34.0,2.0,31.6,21.9,4045.0,244040.0,30.0,9.0,8.0,331900.0,0.4,22.0,55.0,5.0,176650.0,3750.0,54.0,210.0,6.0,32.0,4684.0,6046.0,1400.0,1250.0,5300.0,7055.0,251045.0,43.0,1150.0,239145.0,0.7,3.700000000000003,0.5,decreased,increased
's-Gravenhage,2012,106.5,101.6,1700.0,13.0,3400.0,22.0,4650.0,36.6,25.0,2.0,48.0,15.0,18.0,7.0,2184.0,2300.0,10.0,9.0,0.5,33.0,502055.0,248560.0,0.4,2300.0,15.0,12.0,32.0,2.0,34.0,2.0,32.1,22.2,4180.0,247865.0,30.0,9.0,8.0,335600.0,0.4,21.0,54.0,4.0,178795.0,3700.0,54.0,207.0,6.0,32.0,4725.0,6131.0,1500.0,1300.0,5300.0,6920.0,254190.0,44.0,1200.0,240570.0,0.7,8.700000000000003,12.400000000000006,decreased,decreased
's-Gravenhage,2013,101.6,97.0,4650.0,13.0,1450.0,22.0,1850.0,36.3,25.0,2.0,48.0,16.0,18.0,7.0,2187.0,1300.0,10.0,9.0,0.5,33.0,505855.0,250150.0,0.4,5300.0,16.0,12.0,32.0,2.0,34.0,2.0,32.4,22.2,4025.0,249735.0,31.0,9.0,7.0,335300.0,0.4,23.0,56.0,4.0,179045.0,1650.0,55.0,199.0,6.0,32.0,4720.0,6179.0,3900.0,3650.0,2500.0,6590.0,256115.0,42.0,2250.0,244882.0,0.7,4.900000000000006,13.600000000000009,decreased,decreased
's-Gravenhage,2014,97.0,89.2,4500.0,13.0,1100.0,22.0,1400.0,36.0,25.0,2.0,47.0,14.1,18.0,7.0,2179.0,950.0,10.0,9.0,0.5,32.0,508940.0,249285.0,0.4,5200.0,16.0,12.0,32.0,3.0,34.0,2.0,30.3,23.0,4079.0,251305.0,31.0,10.0,8.0,370200.0,0.4,22.0,55.0,4.0,178360.0,1250.0,55.0,188.0,6.0,31.0,4755.0,6216.0,3800.0,3550.0,1900.0,6903.0,257630.0,43.0,2200.0,249994.0,0.7,4.599999999999994,9.5,decreased,decreased
's-Gravenhage,2015,89.2,83.1,4430.0,13.0,1150.0,54527.0,1340.0,36.1,129549.0,2.0,120149.0,12.4,90988.0,38573.0,2167.0,1020.0,49399.0,46796.0,0.5,31.0,514861.0,253420.0,0.4,5160.0,84810.0,62143.0,160760.0,3.0,178554.0,12418.0,31.7,24.4,4270.0,254187.0,78744.0,50754.0,8.0,382500.0,0.4,23.0,55.0,20872.0,177400.0,1320.0,283830.0,184.0,30013.0,160437.0,4751.0,6289.0,3730.0,3450.0,1980.0,6781.0,260674.0,42.0,2180.0,251374.0,0.7,7.799999999999997,12.399999999999991,decreased,decreased
's-Hertogenbosch,2007,120.0,117.9,,12.0,,29.0,,10.0,26.0,2.1,38.0,,17.0,2.0,810.0,,,1.0,,,135650.0,62300.0,0.8,,9.0,12.0,,,10.0,1.0,18.8,13.9,950.0,66670.0,33.0,3.0,7.0,98400.0,0.6,,,,68405.0,,,236.0,3.0,31.0,1901.0,1606.0,,,,1620.0,68980.0,,,59065.0,1.1,2.200000000000003,21.30000000000001,decreased,decreased
's-Hertogenbosch,2008,117.9,115.4,2200.0,12.0,3400.0,29.0,4150.0,9.9,27.0,2.1,39.0,,17.0,2.0,848.0,2350.0,7.0,1.0,0.7,,136480.0,63050.0,,2900.0,9.0,12.0,39.0,,10.0,1.0,,,1065.0,67050.0,32.0,3.0,8.0,,0.6,,,5.0,71620.0,3600.0,49.0,254.0,3.0,31.0,1907.0,1616.0,1800.0,1550.0,5100.0,1655.0,69430.0,,1150.0,60330.0,1.1,2.0999999999999943,4.299999999999997,decreased,decreased
's-Hertogenbosch,2009,115.4,102.7,2150.0,13.0,3450.0,29.0,4250.0,9.8,27.0,2.1,39.0,8.0,17.0,2.0,879.0,2400.0,7.0,1.0,0.7,38.0,137780.0,63930.0,0.7,2900.0,9.0,12.0,39.0,0.0,10.0,1.0,30.5,22.6,1055.0,67720.0,32.0,3.0,8.0,99700.0,0.6,12.0,50.0,5.0,73925.0,3650.0,49.0,264.0,3.0,31.0,1917.0,1637.0,1800.0,1550.0,5150.0,1770.0,70060.0,50.0,1150.0,61235.0,1.2,2.5,4.599999999999994,decreased,decreased
